,question.stem,keywords
900,"He took meticulous notes, he wasn't naturally gifted but he worked very hard to do well at what?","['meticulous', 'gifted', 'notes', 'wasn', 'hard']"
901,It was a hot day and they all wanted to get in the water.  Sam climbed up.  What might Sam have done?,"['climbed', 'sam', 'water', 'hot', 'day']"
902,"The so called nerd had earned respect by standing up for himself, a person can only take so much what?","['nerd', 'respect', 'earned', 'person', 'called']"
903,If the end of the world comes and people need to reproduce what is the main goal of the couple to do?,"['reproduce', 'people', 'couple', 'end', 'world']"
904,What does driving a car use?,"['driving', 'car', 'use', 'does']"
905,Where is disease often spread rapidly?,"['disease', 'rapidly', 'spread']"
906,"The two boys caused trouble together, so the teacher made them join what groups?","['boys', 'groups', 'trouble', 'teacher', 'caused']"
907,Where is someone likely to be bored in a waiting room for something routine?,"['room', 'bored', 'waiting', 'routine', 'likely']"
908,Sally sat too close to the orchestra pit and couldn't hear anything from the stage.  She was  really dissapointed because  the archetect didn't think about where to put the place where she was sitting. What is that place called?,"['place', 'sitting', 'orchestra', 'stage', 'pit']"
909,What kind of furniture could you keep a thermometer in?,"['thermometer', 'furniture', 'kind']"
910,What could you find a diaphragm in?,['diaphragm']
911,"The space shuttle was stuck near the planet, what was it stuck in?","['shuttle', 'stuck', 'planet', 'space', 'near']"
912,When they leave home a student is responsible for what?,"['student', 'responsible', 'home', 'leave']"
913,Where is meat often prepared?,"['meat', 'prepared']"
914,"If you're talking a break from employment, then what are you probably doing?","['break', 'employment', 'talking', 'doing', 'probably']"
915,What heat source was commonly used in early steam engines?,"['engines', 'heat', 'steam', 'commonly', 'used']"
916,What does a person do when they don't want someone to know that they know something?,"['know', 'person', 'don', 'want', 'does']"
917,"When someone is talking, what would cause them to say bless you?","['bless', 'talking', 'cause', 'say']"
918,There are two leather chairs that swivel.  Where might you expect to find chairs like this?,"['chairs', 'swivel', 'leather', 'expect', 'like']"
919,"The rich man told his traders not to buy anymore, his gut told him it was time to start what?","['traders', 'rich', 'buy', 'gut', 'start']"
920,What do you put shades over?,['shades']
921,Fallen leaves covered the floor around the pot.  What might have been in the pot?,"['pot', 'leaves', 'floor', 'fallen', 'covered']"
922,Where would you find a hair salon along with many other merchants?,"['salon', 'hair', 'merchants']"
923,What is person who is ambitious focused on?,"['ambitious', 'focused', 'person']"
924,The control room opens and closes doors in what home for law breakers?,"['doors', 'room', 'law', 'breakers', 'home']"
925,"Jacob wants to get the freshest possible carrots at the lowest price, so he's going where?","['carrots', 'jacob', 'freshest', 'price', 'wants']"
926,What city that begins with a C is a part of Manchester?,"['manchester', 'city', 'begins']"
927,Where are there likely to be yards side by side?,"['yards', 'likely']"
928,"Although many humans don't like it, what are many animals naturally in the wild?","['animals', 'wild', 'humans', 'naturally', 'like']"
929,What is a common injury while wrestling?,"['wrestling', 'injury', 'common']"
930,"He had never seen a common snow before, the locals were used to it but for him it was fun and what?","['snow', 'fun', 'locals', 'common', 'used']"
931,"He had trouble getting sleep at night, he could never cool down and what?","['sleep', 'night', 'trouble', 'getting', 'cool']"
932,"What can frogs do throughout their life cycle, from tadpole to adult?","['frogs', 'tadpole', 'adult', 'life', 'cycle']"
933,"Jame's actions were bad, but torturing him for it was now what?","['jame', 'torturing', 'actions', 'bad']"
934,Why would someone be getting in line?,"['line', 'getting']"
935,"The child was suffering boredom in the classroom, he began to do what with things?","['classroom', 'boredom', 'child', 'things', 'began']"
936,"Humans live in all sorts of regions and climates, they seem to be what?","['climates', 'humans', 'regions', 'live', 'sorts']"
937,What open space is a fine place to plant a rosebush?,"['rosebush', 'place', 'plant', 'space', 'open']"
938,What happens shortly after taking final exams?,"['exams', 'final', 'shortly', 'taking', 'happens']"
939,"James tried to preserve the floor as best he could, but the water seeped in causing it to do what?","['water', 'floor', 'james', 'seeped', 'preserve']"
940,What is someone trying to have while playing ball?,"['ball', 'playing', 'trying']"
941,Where can you watch a show about an isle?,"['isle', 'watch']"
942,"The spectators were watching the pitcher on the mound, where were the spectators?","['spectators', 'mound', 'pitcher', 'watching']"
943,"The man was watching TV late at night, what happened as a result?","['tv', 'watching', 'night', 'happened', 'result']"
944,When exercises for weight loss or to get in shape what might your body do?,"['exercises', 'body', 'shape', 'weight', 'loss']"
945,What is the best about living life with lots of smart people around you?,"['smart', 'living', 'life', 'people', 'best']"
946,"The man rushed in to help, he couldn't believe so many people would stand around and what?","['people', 'stand', 'rushed', 'couldn', 'help']"
947,Where can you drink alcohol in the air?,"['alcohol', 'air', 'drink']"
948,Where would you pour a glass of milk by yourself?,"['milk', 'pour', 'glass']"
949,John looked up while mowing his lawn and saw birds nesting.  Where might they be nesting?,"['birds', 'nesting', 'lawn', 'mowing', 'john']"
950,A human in Japan has a habit of doing what?,"['japan', 'habit', 'human', 'doing']"
951,Why would you be going for run if you are not fat?,"['run', 'fat', 'going']"
952,If your legs are experiencing fatigue what can you do?,"['fatigue', 'legs', 'experiencing']"
953,"If you're successful when performing a difficult task, how might you feel?","['successful', 'difficult', 'task', 'feel', 'performing']"
954,Spending too much when buying christmas presents will cause you to go in to what?,"['spending', 'presents', 'christmas', 'buying', 'cause']"
955,"A car thief is thwarted by a door with lock, what was he trying to take?","['thief', 'car', 'lock', 'door', 'thwarted']"
956,Who are church's made for?,['church']
957,Where might you find a stray tabby cat?,"['tabby', 'stray', 'cat']"
958,Where will you find black and white words?,"['white', 'black', 'words']"
959,Where can you a drop of blood from if nothing is around you?,"['blood', 'drop']"
960,"He worked the belt loose, it was beginning to what against his hip?","['belt', 'loose', 'hip', 'beginning', 'worked']"
961,What is known to be a very complex system?,"['complex', 'known']"
962,The lady got her cats a new scratching post so they had something to what?,"['cats', 'scratching', 'lady', 'new', 'post']"
963,"The scientist was contemplating something he never saw before, what was he contemplating?","['scientist', 'contemplating', 'saw']"
964,"She had an interest in a documentary show, what was she browsing for?","['documentary', 'browsing']"
965,Where would you put a dollar if you want your money to be organized?,"['organized', 'dollar', 'money', 'want']"
966,What is a place inside of a building where you can find a teacher using glue?,"['glue', 'teacher', 'inside', 'building', 'place']"
967,Where will a policeman stop you if you're going too fast?,"['policeman', 'fast', 'stop', 'going']"
968,"The parking area was the site of a huge party, who was there?","['parking', 'party', 'area', 'site', 'huge']"
969,At the end of official judging what is handed down?,"['judging', 'official', 'handed', 'end']"
970,Gambling debts that exceed your assets will cause you to declare what?,"['debts', 'gambling', 'declare', 'assets', 'exceed']"
971,What does a child do when walking out ?,"['walking', 'child', 'does']"
972,"If someone is angry and they're told to ""cool off"" what does that person want them to do?","['angry', 'person', 'want', 'does', 'told']"
973,Where do you typically buy accessories made out of felt?,"['accessories', 'felt', 'buy', 'typically']"
974,James lived in a rural area and wanted to go to a tennis court.  What state might he live in?,"['james', 'tennis', 'rural', 'court', 'state']"
975,"He began using the soft setting to polish out a finish, this was after having started with a more what setting?","['setting', 'soft', 'finish', 'began', 'using']"
976,Where does someone use a drill on wood work?,"['drill', 'wood', 'work', 'use', 'does']"
977,My company is strictly mom and pop.  How do I keep it that way?,"['company', 'pop', 'mom', 'strictly', 'way']"
978,"The man wanted to serve crab, where should he put it first?","['crab', 'serve', 'man', 'wanted']"
979,The tiger is one of many dangers in the what?,"['tiger', 'dangers']"
980,While seeing people play a game what may you experience if you team is doing well?,"['play', 'team', 'game', 'experience', 'seeing']"
981,What does needing to study usually require a great deal of?,"['study', 'require', 'needing', 'usually', 'does']"
982,"The bat needed a stereotypical place to live, what did it choose?","['bat', 'place', 'stereotypical', 'choose', 'live']"
983,"A snowflake with millions of friends and wind can cause all sorts of trouble, what is this called?","['snowflake', 'wind', 'friends', 'trouble', 'called']"
984,Billy was terrible at socializing and didn't know many people at all.  What might make it difficult for Billy to socialize?,"['socializing', 'socialize', 'billy', 'difficult', 'people']"
985,Getting something wrong that's obvious can really make a person what?,"['obvious', 'wrong', 'getting', 'person', 'really']"
986,Where does a policeman frequent for snacks?,"['policeman', 'snacks', 'frequent', 'does']"
987,"If a guy wants accommodations to view a movie, where is he looking to go?","['accommodations', 'movie', 'view', 'guy', 'wants']"
988,What will a person who plans for the future will do this more often than someone who lives in the moment?,"['future', 'plans', 'moment', 'lives', 'person']"
989,My friend and I were playing ball. We each wanted to win. What sort of game were we playing?,"['game', 'playing', 'ball', 'win', 'friend']"
990,What does one do in bed?,"['bed', 'does']"
991,Where does a family eat at a table after cooking dinner?,"['dinner', 'cooking', 'table', 'family', 'eat']"
992,Where do you put personal air conditioning?,"['air', 'conditioning', 'personal']"
993,"If you work hard, one can also be said to do what hard?","['work', 'hard', 'said']"
994,Where is bacteria most likely to grow?,"['bacteria', 'grow', 'likely']"
995,If someone is going to skate in a restricted area what do they hope to do?,"['skate', 'restricted', 'area', 'hope', 'going']"
996,What would you do before pray in your house?,"['pray', 'house']"
997,Sally was answering John's questions honestly.  She enjoyed doing what?,"['sally', 'answering', 'john', 'questions', 'honestly']"
998,What has water and mud in it?,"['mud', 'water']"
999,"Committing murder is difficult, but if you do it right someone will end up in what state?","['murder', 'state', 'committing', 'difficult', 'right']"
1000,The sloth's native habitat is in the area known as what?,"['sloth', 'habitat', 'native', 'area', 'known']"
1001,For what purpose does a person usually plan on having food?,"['food', 'purpose', 'plan', 'having', 'usually']"
1002,where do most bankers work?,"['bankers', 'work']"
1003,"He told the people he was a native, he figured after thirty years he was hardly an what?","['native', 'thirty', 'years', 'people', 'hardly']"
1004,"A roadway doesn't have many building around it, where is it likely traversing?","['roadway', 'traversing', 'building', 'likely', 'doesn']"
1005,"If I spent my weekend resting, what might I tell a coworker I spent time doing?","['coworker', 'resting', 'weekend', 'tell', 'time']"
1006,What does not have a lip?,"['lip', 'does']"
1007,If you're meeting a friend and you've already had lunch what can you do together?,"['lunch', 'meeting', 'friend', 've']"
1008,James was interested in examing the thing that they pulled out of the water.  He liked stuff from old shipwrecks. He probably thought that they were what?,"['shipwrecks', 'james', 'stuff', 'water', 'examing']"
1009,Whenever we travel we burn fuel that creates what?,"['fuel', 'burn', 'travel', 'creates']"
1010,"If a person paddles in the water, where are they likely to be?","['paddles', 'water', 'person', 'likely']"
1011,"A person injured themselves, where should they go?","['injured', 'person']"
1012,"The football coach conditioned the teenagers at the gymnasium, where was this located?","['gymnasium', 'coach', 'located', 'football', 'teenagers']"
1013,Where can you take a horse and carriage ride in a major U.S. city?,"['ride', 'carriage', 'horse', 'city', 'major']"
1014,Why might you be getting in at the end of the line?,"['line', 'end', 'getting']"
1015,"Bill put gold on the scale, where does BIll likely work?","['gold', 'work', 'scale', 'likely', 'does']"
1016,"A painting has damage, what might be found on the canvas?","['painting', 'canvas', 'damage']"
1017,Where is someone likely to participate in an excavation of an Egyptian mummy?,"['excavation', 'mummy', 'egyptian', 'participate', 'likely']"
1018,What will happen when cancer does not go away?,"['cancer', 'away', 'happen', 'does']"
1019,Where is a strip shopping mall likely to be?,"['mall', 'shopping', 'strip', 'likely']"
1020,What does someone do to a curling iron before leaving the house?,"['curling', 'iron', 'leaving', 'house', 'does']"
1021,What could you put a table on top of?,['table']
1022,Alcoholic refreshment is likely banned in what space for people without permanent dwellings?,"['alcoholic', 'dwellings', 'refreshment', 'space', 'people']"
1023,Where would you find a famous apple tree?,"['tree', 'apple', 'famous']"
1024,Some people do not care for milk because of what in it?,"['milk', 'people', 'care']"
1025,What is talking to an expert likely to result in?,"['expert', 'talking', 'result', 'likely']"
1026,How did the infirm man feel after getting in line at the pharmacy?,"['pharmacy', 'infirm', 'line', 'feel', 'man']"
1027,"Dave was playing at the 18th hold near the Krispy Kerme and he lost his ball.  He looked in his backpack for a replacement and come up with a terrible idea.  There was a crinkling sound that alerted the other players that something was amiss, and his makeshift ball did not go far.  What did he use as a ball?","['ball', 'dave', 'backpack', 'crinkling', 'playing']"
1028,James got clothing for Christmas.  He folded it carefully and put it somewhere. Where might he has put it?,"['folded', 'clothing', 'james', 'carefully', 'christmas']"
1029,If your'e going to market what should you bring?,"['market', 'bring', 'going']"
1030,The TV host would eat hamburger and explain how what it was to the camera?,"['hamburger', 'tv', 'camera', 'host', 'eat']"
1031,Where would a passageway covered in vines be found?,"['passageway', 'vines', 'covered']"
1032,"A bald eagle lifts into the air without flapping its wings, what did it take advantage of?","['eagle', 'flapping', 'wings', 'air', 'bald']"
1033,Where is a convenient place to store paper clips when not in use?,"['clips', 'paper', 'store', 'convenient', 'place']"
1034,Where can you occasionally still find a telephone booth?,"['telephone', 'booth', 'occasionally']"
1035,When a horse picks up speed it begins to what?,"['horse', 'speed', 'begins', 'picks']"
1036,Where do you go to see the statue of liberty?,"['liberty', 'statue']"
1037,Where are birds likely most happy?,"['birds', 'happy', 'likely']"
1038,Sam didn't care what I did to him.  All he wanted was to know that I was trying to help fix what I caused to break.  But it wasn't easy doing what to it?,"['sam', 'break', 'help', 'fix', 'care']"
1039,"What is a place where not all creatures live, but where it is possible to see a creature?","['creatures', 'creature', 'place', 'live', 'possible']"
1040,What would you do to animals if you do not want to eat them?,"['animals', 'eat', 'want']"
1041,Where are animals tested on?,"['animals', 'tested']"
1042,While attending a lecture what can you do so that you can study important points later?,"['lecture', 'study', 'attending', 'important', 'points']"
1043,"John was positive that he knew the truth.  Billy, on the other hand, felt what?","['billy', 'john', 'truth', 'felt', 'positive']"
1044,What could a box be used for if it is not refrigerated and has moths in it?,"['box', 'moths', 'refrigerated', 'used']"
1045,"He awaited the reply to his text, but all he got was an emoji for a what?","['emoji', 'text', 'reply', 'awaited', 'got']"
1046,He really enjoyed renting time to play drums but he finally bought his own percussion instrument so he could play in his what?,"['drums', 'percussion', 'instrument', 'play', 'renting']"
1047,"She was always there to comfort friend, if anybody was what, she was there?","['friend', 'comfort', 'anybody']"
1048,"He kept all his paper and plastic in a separate bin, this was so they could be what?","['paper', 'plastic', 'bin', 'separate', 'kept']"
1049,What do people participate in to go about changing society?,"['society', 'participate', 'people', 'changing']"
1050,You may want to lock what if you keep important documents inside?,"['lock', 'documents', 'inside', 'important', 'want']"
1051,A place where a lot of people live is called what?,"['place', 'people', 'live', 'lot', 'called']"
1052,What type of common desk object can be used as a blade?,"['blade', 'desk', 'object', 'common', 'type']"
1053,"She wanted to show of her front garden to everyone, so where did she put it?","['garden', 'did', 'wanted']"
1054,"Jude was an opponent of Mr. Wiskers.  For this reason, Mr. June, who hated Mr. Miskers, was something for Jude.  What was he?","['jude', 'miskers', 'opponent', 'wiskers', 'june']"
1055,"He learned all about the radio for his extracurricular, it was his favorite memories of going to where?","['radio', 'extracurricular', 'memories', 'favorite', 'learned']"
1056,"The teacher said to examine thing number one, it seemed simple but under the microscope it was quite what?","['microscope', 'examine', 'thing', 'teacher', 'simple']"
1057,Where is there a heat source in the house when people are sleeping together?,"['heat', 'house', 'sleeping', 'people', 'source']"
1058,You baby must crawl before they what?,"['crawl', 'baby']"
1059,What would a person do if they do not succeed at something?,"['succeed', 'person']"
1060,Where is the likely place in a house for a wardrobe?,"['wardrobe', 'place', 'house', 'likely']"
1061,What do you do for a date?,['date']
1062,What makes an accelerator go?,"['accelerator', 'makes']"
1063,"James told Sam to stay calm.  It was a dark night in Chicago, but that wasn't important.  Harry was in his basement and had said that he didn't want to be what?","['harry', 'sam', 'dark', 'james', 'basement']"
1064,"When a visitor asks me where to find the cereal, what do I likely tell them?","['cereal', 'visitor', 'tell', 'asks', 'likely']"
1065,Always wear protection if putting a fountain pen where?,"['pen', 'protection', 'fountain', 'wear', 'putting']"
1066,"Sarah wasn't good at lying.  She had an obvious tell.  Whenever she lied, her face would do what?","['sarah', 'lying', 'face', 'lied', 'tell']"
1067,"She was jogging for hours a day, what did her legs feel?","['jogging', 'legs', 'feel', 'hours', 'day']"
1068,"He was working hard on his sculpture, what was he practicing?","['sculpture', 'practicing', 'working', 'hard']"
1069,When you think of a gentleman you think of him wearing a formal what?,"['formal', 'gentleman', 'wearing', 'think']"
1070,John was sitting quietly after class. He was the only person in detention.  He enjoyed something about this.  What might he had enjoyed about his situation?,"['detention', 'class', 'john', 'sitting', 'enjoyed']"
1071,What is a place that usually has an elevator and that often has a telephone book?,"['elevator', 'telephone', 'place', 'usually', 'book']"
1072,Where would you find a doctor caring for the elderly who are living together?,"['elderly', 'doctor', 'caring', 'living']"
1073,If you drink too much booze what are you likely to do?,"['drink', 'booze', 'likely']"
1074,What pig piece of furniture with cabinets can ferret damage?,"['ferret', 'furniture', 'cabinets', 'pig', 'damage']"
1075,What are expectant mothers likely going to a party to celebrate?,"['party', 'mothers', 'celebrate', 'expectant', 'likely']"
1076,"A mom walks with laundry through the passageway, where is she?","['laundry', 'mom', 'passageway', 'walks']"
1077,"The politician is answering questions, why is he doing that?","['politician', 'answering', 'questions', 'doing']"
1078,Will something with a lot of value be cheap?,"['value', 'cheap', 'lot']"
1079,A human that tricks an artificial intelligence might what afterwards?,"['tricks', 'intelligence', 'artificial', 'human']"
1080,Where are people likely to put a chair at a counter?,"['chair', 'people', 'counter', 'likely']"
1081,If you're not good at remembering things you should do what?,"['remembering', 'things', 'good']"
1082,It can sometimes be difficult for a person who just did something embarrassing to?,"['embarrassing', 'difficult', 'person', 'did', 'just']"
1083,John is moving to a new place and has to dig a well so that he'll have water.  Where might he be living?,"['john', 'place', 'moving', 'dig', 'water']"
1084,What can too much shopping lead to?,"['shopping', 'lead']"
1085,What do you do when flirting with someone?,['flirting']
1086,Why does someone want to commit suicide?,"['suicide', 'want', 'commit', 'does']"
1087,"He was the only one in the room sleeping, this was because his what kept others awake?","['awake', 'room', 'sleeping', 'kept']"
1088,What in you cap is an expression that means an accomplishment that makes you look good?,"['accomplishment', 'expression', 'cap', 'means', 'makes']"
1089,What place would a student use a pencil at?,"['pencil', 'student', 'use', 'place']"
1090,What is the result of not being careful when having sex?,"['sex', 'careful', 'having', 'result']"
1091,"James has finished his classes, but he's studying intensely anyway.  Why might he want to study when his classes are finished?","['studying', 'study', 'james', 'classes', 'intensely']"
1092,What does the cat try to catch when it is shining from a windom?,"['cat', 'windom', 'shining', 'catch', 'try']"
1093,"The couple wanted to buy house, but they didn't have enough to what it?","['house', 'couple', 'buy', 'didn', 'wanted']"
1094,How will cooling off help you when thinking about what to do?,"['cooling', 'thinking', 'help']"
1095,Where would you find a pistol near people in blue uniforms?,"['pistol', 'uniforms', 'blue', 'people', 'near']"
1096,What do students rarely have time to do for pleasure only?,"['students', 'time', 'rarely', 'pleasure']"
1097,"When reaching advantage in things, you are said to have superior?","['advantage', 'superior', 'reaching', 'things', 'said']"
1098,"James wanted onions but Sarah didn't want any. Because of this,  they split the what in half?","['onions', 'split', 'half', 'sarah', 'james']"
1099,What would happen to someone if a killing is happening?,"['killing', 'happen', 'happening']"
1100,"Behind a restaurant, where can a cat find food?","['cat', 'restaurant', 'food']"
1101,Where would you put a vase to make sure the flowers inside it get enough sun?,"['vase', 'flowers', 'sun', 'inside', 'make']"
1102,where do children use glue sticks?,"['glue', 'sticks', 'children', 'use']"
1103,What emotion does habitual lying tends to cause?,"['lying', 'emotion', 'habitual', 'tends', 'cause']"
1104,What does being under water for a long time lead to?,"['water', 'long', 'time', 'lead', 'does']"
1105,What can happen if you are cogitating successfully?,"['cogitating', 'successfully', 'happen']"
1106,Where can you find the most large container?,"['container', 'large']"
1107,You can find paid parking lots in what part of a city?,"['parking', 'city', 'lots', 'paid']"
1108,"Babies must be careful when having a bath, what could happen with a distracted or absent parent?","['bath', 'parent', 'babies', 'distracted', 'absent']"
1109,The music was loud do you know where it came from,"['music', 'loud', 'came', 'know']"
1110,Muslims believe that women should not have bare head but that they should be what?,"['muslims', 'women', 'head', 'bare', 'believe']"
1111,What is someone doing when contemplating the nature of the universe?,"['universe', 'contemplating', 'nature', 'doing']"
1112,Where could there be cold storage with millions of pieces of food in it?,"['storage', 'food', 'cold', 'millions', 'pieces']"
1113,What does a student at a desk do first?,"['desk', 'student', 'does']"
1114,"Some people begin helping others because of guilt, others just do it out of the goodness of their what?","['guilt', 'helping', 'people', 'begin', 'just']"
1115,"James clicked what he thought was a menu, but it took him to a different place.  It turned out to be what?","['menu', 'james', 'clicked', 'turned', 'place']"
1116,The weather was threatening to postpone the what being done to the outside of the building?,"['weather', 'outside', 'building', 'postpone', 'threatening']"
1117,Where would you find people wearing uniforms and chasing a rubber disc?,"['uniforms', 'rubber', 'chasing', 'disc', 'wearing']"
1118,What sort of emotion would be experienced when out and about in an unfamiliar area?,"['emotion', 'unfamiliar', 'experienced', 'area', 'sort']"
1119,When you're finished with a chess set you'd put it in what?,"['chess', 'set', 'finished']"
1120,Where is a county highway likely to cut through?,"['highway', 'county', 'cut', 'likely']"
1121,In what structure are you likely to find a bean bag chair?,"['chair', 'bag', 'bean', 'structure', 'likely']"
1122,"Residents of the small town feared a new shopping center, what didn't they want their town to become?","['town', 'shopping', 'residents', 'feared', 'small']"
1123,Where would I be responsible for blowing up the toy balloon?,"['balloon', 'blowing', 'toy', 'responsible']"
1124,In what group of people's homes will you find a corner shop?,"['homes', 'corner', 'shop', 'people', 'group']"
1125,The lust of one night can lead to a life altering situation if the two parties inadvertently what?,"['lust', 'inadvertently', 'situation', 'life', 'parties']"
1126,"The person was trying to ignore other passenger on the plane talking incessantly, what did that person feel?","['passenger', 'plane', 'talking', 'ignore', 'person']"
1127,"The old couple wanted to see particular program at the theater but were unsure when it started, they went to the theater to what?","['theater', 'couple', 'old', 'program', 'particular']"
1128,"The doors closed to customers and he got to do his favorite part of the job, he began stocking product on the what?","['stocking', 'job', 'customers', 'doors', 'product']"
1129,"Out relationship with dogs is very one sided.  We can do something to dogs, but they can't do the same thing to us.  What can't dogs do to us?","['dogs', 'thing', 'relationship', 'sided']"
1130,Where is likely to have a small traffic artery?,"['artery', 'traffic', 'small', 'likely']"
1131,"The man's greatest weakness was salty snacks, he grabbed bag after bag of chips every trip to the where?","['snacks', 'chips', 'bag', 'weakness', 'trip']"
1132,"The person hadn't slept in 3 days, what did his brain experience?","['slept', 'brain', 'days', 'experience', 'hadn']"
1133,Where would you put a laptop computer if you want to use it outside?,"['laptop', 'outside', 'computer', 'use', 'want']"
1134,"If children were in a gym, would they be doing?","['gym', 'children', 'doing']"
1135,What is a place where people live that has dishes?,"['dishes', 'place', 'people', 'live']"
1136,"The situation was causing anger, but his wife subdued it with her heartwarming what?","['anger', 'wife', 'situation', 'subdued', 'causing']"
1137,John the ferret was a pet ferret of a Kindergarten.  It liked to get into things that it shouldn't get into.  One day the ferret went missing and the whole school looked for it.  Mr. Johnson felt something scurry up his leg and settle around his private area. Mr. Johnson did not like this one bit.  Where was the ferret?,"['ferret', 'john', 'pet', 'johnson', 'leg']"
1138,What does a person do at the end of every month?,"['month', 'person', 'end', 'does']"
1139,"If someone is typically in an excellent mood but things just are not going well for them that day, what kind of day are they having?","['mood', 'day', 'typically', 'things', 'having']"
