,question.stem,keywords,answer
854,What area does a police officer patrol?,"['police', 'patrol', 'officer', 'area', 'does']",beat
855,Why would a woman kill a stranger she met in a dark alley?,"['woman', 'stranger', 'kill', 'dark', 'alley']",
856,"The baby was cranky, it needed to eat breakfast but refused to what?","['breakfast', 'cranky', 'baby', 'eat', 'refused']",open mouth
857,What is made up of people?,['people'],audience
858,"He was afraid he would die from his cold, so he wisely decided to what?","['cold', 'wisely', 'die', 'afraid', 'decided']",seek help
859,Where would you get a pen if you do not have one?,['pen'],
860,Why would a small dog pant if it's hot outside?,"['pant', 'dog', 'outside', 'small', 'hot']",heat
861,"She asked her little boy why, he replied that he didn't know and it was just what?","['boy', 'know', 'little', 'just', 'asked']",because
862,Where would you display a picture on a horizontal surface?,"['horizontal', 'display', 'picture', 'surface']",shelf
863,What skill is needed for riding a bike?,"['bike', 'riding', 'skill', 'needed']",good balance
864,"He looked at the field of pumps, all slowing churning oil out of the what?","['oil', 'churning', 'pumps', 'slowing', 'looked']",ground
865,The department to where vendors deliver goods for sale is called what?,"['vendors', 'department', 'sale', 'deliver', 'goods']",receiving
866,Where is the worst place to be in a ticket office?,"['place', 'office', 'ticket', 'worst']",end of line
867,"Exercise is very good for you, for faster recovery you should always do what afterwards?","['exercise', 'recovery', 'faster', 'good']",stretch
868,What happens when you go somewhere and forget something at home?,"['forget', 'home', 'happens']",go back
869,Where would you acquire a wind instrument for you own use?,"['instrument', 'wind', 'acquire', 'use']",music store
870,Where would a person light alcohol on fire to observe the reaction?,"['alcohol', 'reaction', 'observe', 'light', 'person']",chemistry lab
871,"If a storey contained a panoramic view, what kind of structure would it be in?","['panoramic', 'storey', 'view', 'structure', 'contained']",tall building
872,Where does lettuce arrive by large trucks?,"['lettuce', 'trucks', 'arrive', 'large', 'does']",
873,Why do people who are dying receive social security payments?,"['dying', 'payments', 'people', 'security', 'social']",unable to work
874,What should I do with a jumping rope?,"['jumping', 'rope']",hopping
875,What do geese do every fall in fields?,"['geese', 'fall', 'fields']",group together
876,"I took my seat, the curtains drew back and I enjoyed the what?","['curtains', 'seat', 'enjoyed', 'drew', 'took']",show
877,What should everyone do who doesn't want to fight anymore?,"['fight', 'anymore', 'want', 'doesn']",hope for peace
878,Where is the ideal location for a post office?,"['location', 'office', 'post', 'ideal']",center of town
879,Where outside of a city would a squirrel live?,"['squirrel', 'outside', 'city', 'live']",forest
880,You should watch out for snakes if floating down what African body of water?,"['snakes', 'floating', 'water', 'african', 'body']",amazon river
881,"At the end of the day as he began to eat he paused and thanked her, it wasn't often she would what?","['paused', 'eat', 'day', 'end', 'began']",cook dinner
882,To what do trees roots cling?,"['trees', 'roots', 'cling']",surface of earth
883,What probably has a lot of dust in the back?,"['dust', 'lot', 'probably']",closet
884,"At the new comic store he found himself making friends, it was nice to meet people with what?","['comic', 'friends', 'meet', 'store', 'new']",common interests
885,"The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?","['neuroepithelium', 'student', 'nervous', 'issue', 'balance']",inner ear
886,What could people do that involves talking?,"['talking', 'people', 'involves']",confession
887,If you're a child answering questions and an adult is asking them that adult is doing what?,"['adult', 'answering', 'child', 'questions', 'asking']",teaching
888,"He has lactose intolerant, but was eating dinner made of cheese, what followed for him?","['lactose', 'cheese', 'eating', 'dinner', 'intolerant']",indigestion
889,"The teacher played on the upright piano, she was explaining the song to all the students in the what?","['piano', 'teacher', 'song', 'students', 'upright']",music room
890,"When you get an F, you fail. If you get A's you are?",['fail'],passing
891,What is the main purpose of having a bath?,"['bath', 'purpose', 'having', 'main']",cleanness
892,The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?,"['ball', 'game', 'playing', 'audience', 'boundary']",sporting event
893,What is someone operating a vehicle likely to be accused of after becoming inebriated?,"['inebriated', 'accused', 'vehicle', 'operating', 'likely']",drunk driving
894,Where would you get jewelry if you do not have any?,['jewelry'],
895,What is a philosopher waiting for to eventually gain through his studies?,"['philosopher', 'studies', 'waiting', 'gain', 'eventually']",wisdom
896,What do young boys do on the ice in the winter?,"['ice', 'winter', 'boys', 'young']",play hockey
897,"She loved spending money at the thrift store on knickknacks, this resulted in a lot of what on every shelf in her house?","['thrift', 'shelf', 'knickknacks', 'spending', 'house']",clutter
898,"I listened to lecture intensely, what is my goal?","['lecture', 'listened', 'intensely', 'goal']",concentrate
899,"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?","['computer', 'granddaughter', 'using', 'talk', 'cause']",happiness
900,"Joe was there to meet a large number of people.  As he filed though the entrance hall, he saw many strangers who came from far away.  What sort of building is he probably in?","['entrance', 'hall', 'joe', 'building', 'strangers']",convention center
901,John wanted scatter his wife's remains in a lake in the wilderness.  He had to delay before of where he lived.  Where did he live?,"['lake', 'john', 'wilderness', 'remains', 'lived']",new york
902,Many towns and cities have trash cans where on sidewalks?,"['cities', 'sidewalks', 'towns', 'cans', 'trash']",corner
903,"The family wanted to adopt for enviro-ethical reasons, what did they abhor?","['adopt', 'ethical', 'family', 'abhor', 'reasons']",biological child
904,What happens when airplane engines cut off and are unable to be restarted in flight?,"['engines', 'restarted', 'airplane', 'unable', 'flight']",crash
905,Where would you be concerned about finding a cavity?,"['cavity', 'concerned', 'finding']",teeth
906,Human beings learn about current events from what print item?,"['events', 'print', 'current', 'beings', 'learn']",read newspapers
907,In what kind of environment does an anemone live?,"['anemone', 'environment', 'live', 'kind', 'does']",sea water
908,"He wanted lodging in the actual what, so that he was already where he needed to be?","['lodging', 'needed', 'actual', 'wanted']",resort area
909,"If I am suffering from boredom, and I want to see something beautiful, what should I do?","['boredom', 'suffering', 'beautiful', 'want']",see art
910,"The goal was to hit the target, but a projectile ball can't hit anything if it isn't in what?","['projectile', 'ball', 'goal', 'hit', 'target']",motion
911,Where is a good place to set a cup of coffee while relaxing?,"['coffee', 'relaxing', 'place', 'cup', 'set']",table
912,"If a fried egg was runny and there was no toast to sop it up, after the meal there'd be a messy what?","['egg', 'toast', 'runny', 'fried', 'meal']",
913,"If I want to behave with proper aplomb, what manners should I avoid?","['manners', 'behave', 'aplomb', 'avoid', 'proper']",inappropriate
914,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?","['squash', 'lifting', 'facilities', 'weights', 'court']",
915,What will happen to animals after eating food?,"['animals', 'eating', 'food', 'happen']",feel pleasure
916,"If I wanted to grow plants, where could I put a lot of dirt?","['dirt', 'plants', 'grow', 'lot', 'wanted']",garden
917,What does a person often feel about someone judging them guilty?,"['judging', 'guilty', 'feel', 'person', 'does']",resentment
918,A town between two mountains is located in a what?,"['mountains', 'town', 'located']",valley
919,James need to use a toilet but there were no public ones in sight.  Eventually he broke down and did something very expensive so that he could get a toilet.  Where might he have gone?,"['james', 'toilet', 'gone', 'sight', 'broke']",motel room
920,Why did the heavy metal band need electricity at the stadium?,"['electricity', 'stadium', 'band', 'metal', 'heavy']",concert
921,What is a person looking for when completing puzzles or riddles?,"['puzzles', 'riddles', 'completing', 'looking', 'person']",intellectual challenge
922,"If someone was making breakfast, they'd probably put two slices of bread in the what?","['bread', 'breakfast', 'slices', 'making', 'probably']",toaster
923,"His house was a mess, he began doing housework to get what?","['housework', 'house', 'mess', 'began', 'doing']",house clean
924,Where would a corpse be covered by a blanket?,"['blanket', 'corpse', 'covered']",hospital
925,"The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?","['cat', 'glass', 'break', 'escape', 'kill']",accelerate
926,"The trucker plopped on the bench with a sense of relief, where did he arrive?","['trucker', 'relief', 'arrive', 'bench', 'plopped']",rest area
927,What is part of a republic like the USA?,"['republic', 'usa', 'like']",state
928,Where do you keep extra clothing on a hike?,"['hike', 'clothing', 'extra']",backpack
929,What could an apple tree do?,"['tree', 'apple']",bloom
930,What very cold area in the east can a crab be found?,"['crab', 'east', 'cold', 'area']",atlantic ocean
931,"The chef wanted to perfect his craft, what did he do?","['chef', 'craft', 'perfect', 'did', 'wanted']",study french cooking
932,She wanted a kitten and puppy so why did she only get the puppy?,"['puppy', 'kitten', 'did', 'wanted']",one choice for pet
933,There was no shade for Jenny.  She was forced to lie there exposed to what?,"['shade', 'jenny', 'exposed', 'forced', 'lie']",full sunlight
934,What could happen to you after you are cleaning house for a long time?,"['cleaning', 'house', 'time', 'long', 'happen']",exhaustion
935,What is someone doing when scheduling when to go to party?,"['party', 'scheduling', 'doing']",plan
936,What kind of path do comets tend to have?,"['comets', 'path', 'tend', 'kind']",set orbits
937,What do people feel after having sex that requires them to shower?,"['shower', 'sex', 'feel', 'people', 'having']",dirty
938,"The vet found malignant tumors on the animals, what is their likely fate?","['tumors', 'malignant', 'animals', 'vet', 'likely']",die of cancer
939,What is the thing that is agitated in your head when kissing?,"['kissing', 'head', 'agitated', 'thing']",happiness
940,"Billy was reading the newspaper as he commuted to work, but once he got to his destination he balled it up and put it somewhere. Where did it put it?","['newspaper', 'billy', 'balled', 'destination', 'commuted']",trash
941,Where do you keep a pail in your house?,"['pail', 'house']",utility room
942,what is printed with ink and distributed daily?,"['ink', 'printed', 'distributed', 'daily']",newspaper
943,What are people likely to do when an unexpected decent outcome occurs?,"['outcome', 'unexpected', 'occurs', 'people', 'decent']",thank god
944,"The terrace had Kanji written on it, indicating that it was made where?","['terrace', 'kanji', 'indicating', 'written']",japan
945,"The company sent off many purchases, they used recycled cardboard as their what?","['cardboard', 'recycled', 'company', 'purchases', 'used']",packaging materials
946,Why might a person be known as a liar?,"['liar', 'person', 'known']",false information
947,"The child was politely waiting for dessert, he was eventually rewarded for his what?","['dessert', 'child', 'rewarded', 'politely', 'waiting']",patience
948,"The man was giving assistance to a pan handler in the streets, how did he give assistance?","['pan', 'assistance', 'handler', 'giving', 'streets']",out of pocket
949,What do you call the caretakers of a child?,"['caretakers', 'child']",parents
950,Where would you run in to a niece you only see every one and a while?,"['niece', 'run']",
951,"Working on the elaborate task was taxing, it require extreme what?","['taxing', 'task', 'working', 'extreme', 'elaborate']",concentration
952,What may you have after awaking after a night of heavy drinking?,"['drinking', 'awaking', 'night', 'heavy']",headache
953,What uses a ribbon to put words on paper?,"['ribbon', 'paper', 'words', 'uses']",
954,Where are sheep likely to live?,"['sheep', 'live', 'likely']",farm
955,"If I was watching TV on the couch and the air was stuffy, I might turn the fan on to make the what more comfortable?","['fan', 'couch', 'stuffy', 'air', 'tv']",living room
956,"While walking the student needed to store his writing insturment away, where did he put it?","['writing', 'student', 'walking', 'store', 'away']",pocket
957,Who watches a play in an auditorium?,"['auditorium', 'play', 'watches']",crowd
958,What is a possible outcome for committing murder?,"['murder', 'outcome', 'committing', 'possible']",imprisonment
959,where is a good place to obtain new soap?,"['soap', 'place', 'new', 'obtain', 'good']",supermarket
960,What do people do for food?,"['food', 'people']",kill animals
961,There was many a bottle to choose from behind the cashier where?,"['bottle', 'cashier', 'choose']",liquor store
962,"They had to know where to go, they got on the national highway after consulting the what?","['highway', 'national', 'consulting', 'know', 'got']",atlas
963,What do professors primarily do?,"['professors', 'primarily']",teach courses
964,Where do you throw a ball at pins?,"['ball', 'pins', 'throw']",bowling alley
965,What might you need to do cleaning?,"['cleaning', 'need']",using water
966,If i were to spit a lot without noticing i may have extra what?,"['spit', 'extra', 'noticing', 'lot']",saliva nd mouth
967,"If student got a list of supplies from class like paper and pencils, their parent would have to go where?","['parent', 'pencils', 'supplies', 'student', 'paper']",store
968,Why do young people swallow semen ?,"['semen', 'swallow', 'young', 'people']",
969,"Sally was standing in queue.  The line was very, very slow.  What was she feeling?","['sally', 'queue', 'slow', 'line', 'feeling']",frustration
970,What is the animal trying to accomplish?,"['animal', 'trying', 'accomplish']",live long
971,"James and Holly went dancing together. As they danced, he  pressed himself against her what?","['danced', 'james', 'holly', 'dancing', 'pressed']",moving body
972,"If a house has a subscription, what likely shows up in the driveway every morning?","['driveway', 'subscription', 'house', 'morning', 'likely']",newspaper
973,What does a person do when they feel dirty?,"['dirty', 'feel', 'person', 'does']",wash themselves
974,"After the weight cut he was worried about his energy levels, but this was part of participating in a what?","['energy', 'weight', 'cut', 'worried', 'participating']",wrestle
975,what does a person do to stay healthy?,"['healthy', 'person', 'stay', 'does']",eat every day
976,Who is the guard here for?,['guard'],prisoner
977,"If a person stutters when he experiences anxiety or excitement, he'll have difficult doing what?","['stutters', 'anxiety', 'excitement', 'difficult', 'experiences']",express information
978,Where can you keep letter opener when it likely to be needed soon?,"['opener', 'letter', 'needed', 'soon', 'likely']",
979,"Danny found that the carpet did not ,match the drapes, which was disappointing, because this place was expensive.  But it was the only place in town that wasn't booked solid for the week and he needed it while he was in town, so he couldn't complain.   Where might this place be?","['place', 'carpet', 'drapes', 'town', 'danny']",at hotel
980,What do people need to do to change their lives?,"['change', 'lives', 'people', 'need']",face problems
981,Humans need shelter to survive.  They usually find shelter where?,"['shelter', 'survive', 'humans', 'need', 'usually']",homes
982,Someone who had a very bad flight might be given a trip in this to make up for it?,"['flight', 'trip', 'given', 'bad', 'make']",first class
983,"Nature can be good and bad for the person who walks, what are some things?","['nature', 'walks', 'things', 'bad', 'person']",see beautiful views
984,Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,"['exercise', 'jim', 'weight', 'lose', 'rid']",need for food
985,Nature creates more beautiful structures than those that are what?,"['nature', 'structures', 'creates', 'beautiful']",man made
986,The water in clouds turn in to what when it gets cold?,"['clouds', 'water', 'cold', 'turn', 'gets']",snowflake
987,What southern U.S. state is know for having many swamps?,"['swamps', 'southern', 'state', 'know', 'having']",louisiana
988,When going to sleep what happens to your body?,"['sleep', 'body', 'happens', 'going']",relaxation
989,Where is a monkey likely to enjoy being?,"['monkey', 'likely', 'enjoy']",banana tree
990,What is a form of anaerobic exercising?,"['anaerobic', 'exercising', 'form']",run
991,The earth is one planet in what?,"['earth', 'planet']",solar system
992,Where would you put a container can after you buy it?,"['container', 'buy']",garage
993,Where did you meet your best friend since Kindergarten?,"['kindergarten', 'meet', 'friend', 'best', 'did']",
994,James was below the balloon.  He watched it rise.  What direction did he look in?,"['balloon', 'direction', 'james', 'rise', 'look']",upwards
995,John and Tim like playing. It makes them what?,"['playing', 'tim', 'john', 'makes', 'like']",feeling happy
996,What could happen if someone is seeing new presents at a birthday party?,"['presents', 'party', 'birthday', 'new', 'happen']",excitement
997,"Joe's cat smelled something delicious and jumped into this, causing him to panic and fear for its life. Where might it have jumped?","['cat', 'jumped', 'joe', 'smelled', 'fear']",microwave
998,Why would a person put flowers in a room with dirty gym socks?,"['flowers', 'socks', 'dirty', 'room', 'gym']",smell good
999,The table wasn't level.  some parts were higher and some were lower with no rhyme or reason.   It was very what?,"['table', 'level', 'higher', 'lower', 'rhyme']",uneven
1000,"The person signed up for home insurance, what is he seeking?","['insurance', 'home', 'seeking', 'person', 'signed']",financial security
1001,"James know that committing murder was wrong, but he thought that he could get away with it.  He was really troubled  and fearful because of what?","['james', 'murder', 'fearful', 'troubled', 'committing']",prosecution
1002,How can someone die from eating hamburger?,"['hamburger', 'eating', 'die']",mad cow disease
1003,Where would using a boat not require navigation skills?,"['boat', 'navigation', 'skills', 'using', 'require']",river
1004,What does a self assured person often do?,"['self', 'assured', 'person', 'does']",feel important
1005,"He was very outgoing, for him making friends was no personal what?","['friends', 'personal', 'outgoing', 'making']",conflict
1006,What do you feel when giving assistance to the needy?,"['needy', 'giving', 'assistance', 'feel']",satisfaction
1007,Paul wants carrots and doesn't need to drive anywhere. He gets them from where?,"['carrots', 'paul', 'drive', 'wants', 'gets']",
1008,"He was a sloppy eater, so where did he leave a mess?","['mess', 'sloppy', 'eater', 'leave', 'did']",table
1009,What does every person want?,"['want', 'person', 'does']",life partner
1010,"If a small flying animal picks up a string, where are they taking it?","['string', 'flying', 'animal', 'small', 'taking']",
1011,"He had no issue committing perjury, he had a what that he would get away with it?","['perjury', 'issue', 'committing', 'away']",confidence
1012,What could go to a tennis court?,"['tennis', 'court']",athletic club
1013,What could you use to fill a cup and then drink from it?,"['cup', 'drink', 'use']",water fountain
1014,"The two played video games all night in the living room, he enjoyed visiting where?","['room', 'games', 'visiting', 'night', 'played']",
1015,"The weasel ran up away from danger, somebody joked only our first president could get him down from the what?","['weasel', 'president', 'danger', 'ran', 'joked']",cherry tree
1016,"If you were looking for a blowfish, you wouldn't look on dry land, you'd look in a what?","['blowfish', 'dry', 'looking', 'land', 'look']",body of water
1017,"George checked the rotor of the Apache, which wasn't powered by internal combustion, but by what?","['rotor', 'apache', 'george', 'combustion', 'powered']",jet engine
1018,The poker dealer spread the flop of cards across the what?,"['poker', 'cards', 'flop', 'spread', 'dealer']",table
1019,Where is a salt shaker most often kept?,"['salt', 'shaker', 'kept']",table setting
1020,Where would you put a dollar if you want to go to a store and buy something with it?,"['store', 'dollar', 'buy', 'want']",pocket
1021,What room is likely to have a sideboard on the counter?,"['sideboard', 'room', 'counter', 'likely']",kitchen
1022,What is unlikely to get bugs on its windshield due to bugs' inability to reach it when it is moving?,"['windshield', 'bugs', 'moving', 'reach', 'inability']",airplane
1023,What mall store sells jeans for a decent price?,"['mall', 'jeans', 'store', 'price', 'sells']",gap
1024,Where can a bath towel be borrowed?,"['towel', 'bath', 'borrowed']",at hotel
1025,Why do people stop caring about their problems?,"['caring', 'people', 'problems', 'stop']",become disillusioned
1026,John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?,"['ocean', 'rode', 'john', 'plain', 'bee']",cliff
1027,"They were never going to be big actors, but they all had passion for the local what?","['actors', 'passion', 'local', 'big', 'going']",theater
1028,Where would you use a folding chair but not store one?,"['chair', 'folding', 'store', 'use']",beach
1029,"If you spend a long time shopping in uncomfortable shoes, you might develop what?","['shoes', 'uncomfortable', 'shopping', 'spend', 'develop']",calluses
1030,What does impeachment mean for the president?,"['impeachment', 'president', 'mean', 'does']",trouble
1031,Noble citizen of the Roman empire believed those born with lower status were what to them?,"['noble', 'empire', 'roman', 'citizen', 'born']",inferior
1032,Spraining an ankle while playing baseball will cause what?,"['spraining', 'ankle', 'baseball', 'playing', 'cause']",pain
1033,John was traveling to a new city and took time to check out a business.  He noticed that its carpet was stained with sauces and ketchup. What type of business might that be?,"['ketchup', 'business', 'sauces', 'carpet', 'stained']",restaurant
1034,"If you have a condo in a Wisconsin city known for beer, where are you?","['wisconsin', 'condo', 'beer', 'city', 'known']",milwaukee
1035,Where is hard to read note likely to be?,"['note', 'read', 'likely', 'hard']",medical chart
1036,How does someone go about buying beer?,"['beer', 'buying', 'does']",spend money
1037,If there is gum on your shoe where did it likely come from?,"['gum', 'shoe', 'likely', 'did', 'come']",sidewalk
1038,If a person isn't able to pay their bills what must they do?,"['pay', 'bills', 'person', 'isn', 'able']",make more money
1039,What is main benefit to exercising?,"['exercising', 'benefit', 'main']",get in shape
1040,"Steve thought that it was possible, but he agreed that it was what?","['steve', 'possible', 'thought', 'agreed']",unlikely
1041,What region of a west coast U.S. city would you find a Japanese restaurant?,"['region', 'restaurant', 'coast', 'japanese', 'west']",downtown
1042,What is a tactic used to interfere with learning about science?,"['science', 'interfere', 'tactic', 'learning', 'used']",intimidation
1043,What do people usually feel when falling in love?,"['love', 'feel', 'falling', 'people', 'usually']",happiness
1044,The tiger was stuck in what animal prison where he got lazy and fat?,"['tiger', 'animal', 'prison', 'lazy', 'fat']",zoo
1045,What do parents tell a child to do on the weekend?,"['parents', 'weekend', 'child', 'tell']",go out to play
1046,Why are dogs often known as man's best friend?,"['dogs', 'friend', 'known', 'man', 'best']",very loyal
1047,Where can you buy a two wheel transportation machine?,"['wheel', 'transportation', 'machine', 'buy']",bicycle shop
1048,Where might an alien use a vacuum?,"['vacuum', 'alien', 'use']",space
1049,Where do you buy condoms?,"['condoms', 'buy']",supermarket
1050,What animal is known for being a follower?,"['animal', 'follower', 'known']",goat
1051,"The soldier was told to get to the rendezvous point, for there he was suppose to what?","['rendezvous', 'soldier', 'point', 'suppose', 'told']",wait for orders
1052,If you want to kill someone you can do what to them with a gun?,"['gun', 'kill', 'want']",shoot
1053,"The hostess greeted the employees to the program, she then led them to their what?","['hostess', 'employees', 'greeted', 'program', 'led']",work room
1054,Where is a likely place to store unused soap?,"['soap', 'store', 'unused', 'place', 'likely']",cabinet
1055,Loss of someone you love can cause what kind of feeling in your heart?,"['heart', 'feeling', 'love', 'loss', 'kind']",painful
1056,Where in your home would you keep a ballpoint pen when not in use?,"['pen', 'ballpoint', 'home', 'use']",desk drawer
1057,"James was someone who was caught in his own delusions.  To him, the truth didn't do what what?","['james', 'delusions', 'truth', 'didn', 'caught']",matter to
1058,"He wanted to live somewhere were every yard was uniform in size and landscaping, where should he look for a house?","['yard', 'house', 'landscaping', 'live', 'look']",subdivision
1059,"The flasks was used to distill elements, where was is being used?","['flasks', 'distill', 'elements', 'used']",chemistry lab
1060,What was the man encouraged to do after he expressed his anger violently?,"['violently', 'anger', 'expressed', 'man', 'encouraged']",cool off
1061,Where can a student learn to play a triangle?,"['triangle', 'play', 'learn', 'student']",
1062,What do you need to do to use television if it is already turned on?,"['television', 'use', 'turned', 'need']",open eyes
1063,"The guys had a regular poker game, rather than going to the movies this what their what?","['poker', 'game', 'guys', 'movies', 'regular']",social event
1064,When you stroke a dogs fur what have you done?,"['fur', 'dogs', 'stroke']",petted
1065,Dan fell off a bar stool.  He did this because he was what than ever before?,"['dan', 'fell', 'stool', 'bar', 'did']",drunker
1066,"The wood was still rough to the touch, what did the woodworker have to do?","['wood', 'woodworker', 'touch', 'rough', 'did']",sanded
1067,"The chief saw his entire tribe wiped out, he was a leader with a single what?","['tribe', 'chief', 'leader', 'saw', 'wiped']",follower
1068,"The flower grew tall to compete for sunlight, what did its neighbor do?","['flower', 'grew', 'sunlight', 'neighbor', 'tall']",cast shadow
1069,"If while driving to work another car makes a careless maneuver, what emotion might you feel?","['driving', 'emotion', 'careless', 'car', 'feel']",road rage
1070,What kind of food makes someone sick?,"['food', 'sick', 'kind', 'makes']",unhealthy
1071,Where would you find the sharpest parts of a triangle?,"['triangle', 'sharpest', 'parts']",three vertices
1072,How might a automobile get off a freeway?,"['freeway', 'automobile']",exit ramp
1073,What does going to bed with your spouse for sex lead to?,"['bed', 'sex', 'spouse', 'going', 'lead']",get pregnant
1074,What would it be if they get a surprising show over and over?,['surprising'],annoyance
1075,Sally thought that competing wasn't worth the risk. If she pushed more what might happen?,"['competing', 'sally', 'pushed', 'risk', 'happen']",death
1076,"John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles.  What is the function of the place he is most likely at?","['bathroom', 'toilet', 'function', 'place', 'circles']",race track
1077,What event might one buy tickets for seats?,"['seats', 'tickets', 'event', 'buy']",show
1078,"The merchant wanted to open in a high-traffic space, where did he rent space?","['merchant', 'rent', 'traffic', 'space', 'open']",mall
1079,"The newlyweds began copulating their marriage, they wanted many what?","['newlyweds', 'copulating', 'marriage', 'began', 'wanted']",babies
1080,How does a planet usually move around the sun?,"['planet', 'sun', 'usually', 'does']",orbit
1081,When a group of people are talking at work they might be doing what?,"['talking', 'people', 'group', 'work', 'doing']",sharing of ideas
1082,What emotion leads to punching?,"['punching', 'emotion', 'leads']",anger
1083,"They kept doing things the same, she suggested they also try doing things what?","['things', 'try', 'doing', 'kept', 'suggested']",differently
1084,Where could you find a shark before it was caught?,"['shark', 'caught']",tomales bay
1085,Where is one likely to find poker chips?,"['chips', 'poker', 'likely']",bar
1086,"Dance can be elegant and specific, or you can just have fun and what?","['dance', 'fun', 'elegant', 'just', 'specific']",move around
1087,Where can one obtain a bass fiddle?,"['bass', 'fiddle', 'obtain']",music store
1088,Why does having a disability sometimes making academic tasks hard for a person?,"['disability', 'academic', 'tasks', 'making', 'hard']",mentally challenged
1089,What is the purpose of playing games for children?,"['games', 'playing', 'children', 'purpose']",learning
1090,"If for some reason you were to start killing people, what would you be likely to receive?","['killing', 'people', 'receive', 'reason', 'start']",prison sentence
1091,If someone laughs after surprising them they have a good sense of what?,"['laughs', 'sense', 'surprising', 'good']",humor
1092,People played a variety of games in the soccer field.  It was the closest thing they had to what?,"['soccer', 'field', 'games', 'played', 'thing']",park
1093,What is likely to have a better school cafeteria?,"['cafeteria', 'school', 'better', 'likely']",polytechnic
1094,When someone has little knowledge and is judging someone they are considered what?,"['judging', 'knowledge', 'little', 'considered']",ignorance
1095,"She wanted to get in shape, but she couldn't stay focused on the hour long what?","['hour', 'focused', 'couldn', 'shape', 'long']",work out
1096,"When you do something and have fun, its something you?",['fun'],do enjoy
1097,What is a salesman responsible to do at work?,"['salesman', 'work', 'responsible']",sell products
1098,How does going jogging generally affect one's self esteem?,"['jogging', 'esteem', 'affect', 'self', 'does']",feel better
1099,Where would you find people standing in a line outside?,"['outside', 'standing', 'line', 'people']",
1100,If you are committing perjury you have done what while under oath?,"['perjury', 'oath', 'committing']",lie
1101,"Where can you find the meaning of ""ficus""?","['ficus', 'meaning']",dictionary
1102,When are people buying products more?,"['products', 'buying', 'people']",economic boom
1103,"The buildings were intended to not have residential kitchens in them, what were they designed for?","['kitchens', 'buildings', 'residential', 'designed', 'intended']",university
1104,"Animals come in all types, some fly thanks to their lightweight hollow what?","['fly', 'animals', 'lightweight', 'hollow', 'types']",bones
1105,"The child felt like it was all pretend, he didn't understand what?","['child', 'pretend', 'understand', 'felt', 'like']",religion
1106,Where is a lake likely to be glacial?,"['glacial', 'lake', 'likely']",mountains
1107,"They needed grape juice for their party, they went to buy it and other snacks at the what?","['grape', 'juice', 'snacks', 'party', 'went']",food store
1108,Why do some people get passports and go to different locations?,"['passports', 'locations', 'people', 'different']",desire to travel
1109,Where do apples form on an apple tree?,"['apples', 'tree', 'apple', 'form']",bloom
1110,Where areas are there likely to be many nightclubs?,"['nightclubs', 'areas', 'likely']",major city
1111,What can machines do that humans cannot?,"['machines', 'humans']",fly
1112,What does someone stop doing when being dead?,"['dead', 'stop', 'does', 'doing']",breathing
1113,The place where my linen closet is really needs repainting a light color as it only has one overhead light.,"['repainting', 'closet', 'color', 'light', 'linen']",hallway
1114,Punk rock music is an important part of what action sport?,"['punk', 'rock', 'sport', 'music', 'action']",skate
1115,Where might a mouse be found to make it country?,"['mouse', 'country', 'make']",old barn
1116,Where is a bird likely to make it's home?,"['bird', 'home', 'likely', 'make']",forest
1117,When a person suffers from hunger early in the day what do they do?,"['hunger', 'suffers', 'early', 'day', 'person']",eat breakfast
1118,How would you express information if you do not have a pen or pencil?,"['pencil', 'pen', 'information', 'express']",talk
1119,What does everyone feel of monsters?,"['monsters', 'feel', 'does']",afraid of
1120,Why does someone want to examine thing closely?,"['examine', 'closely', 'thing', 'want', 'does']",learn about
1121,What does 	drinking alcohol lead to?,"['alcohol', 'drinking', 'lead', 'does']",intoxication
1122,Where would your hear a bass clarinet along side other wood wind instruments?,"['clarinet', 'instruments', 'bass', 'wind', 'wood']",orchestra
1123,What is the opposite of a little of something?,"['little', 'opposite']",lot of
1124,"The princess was pure, the evil wizard wished to do what to her?","['princess', 'evil', 'wizard', 'pure', 'wished']",corrupt
1125,"The piece of paper was worth a lot of money, it was an old Apple Inc what?","['apple', 'paper', 'money', 'worth', 'old']",stock certificate
1126,"During the winter hunt he could hear every motion in the woods, this was because of the what of everything?","['hunt', 'woods', 'winter', 'motion', 'hear']",stillness
1127,"If a car-less person want to listen to talk radio in private, where might they listen to it?","['radio', 'listen', 'car', 'private', 'talk']",bedroom
1128,"Billy was an astronaut.  When he looked at the world from space, how did it look?","['billy', 'astronaut', 'space', 'looked', 'look']",round
1129,Where is a good place to have a fireplace in a house?,"['fireplace', 'house', 'place', 'good']",living room
1130,If you own a cat where is the last place you'd want to find it?,"['cat', 'place', 'want']",
1131,Where would you find a kosher deli along side a number of different places to eat?,"['deli', 'places', 'kosher', 'eat', 'different']",food court
1132,What do you do when you're going to market?,"['market', 'going']",buy food
